company_name,website,hotel_type,estimated_rooms,london_area,icp_fit_level,icp_fit_reasoning
Luxury Hotel Ballroom in London,https://www.maybourne.com/en/hotels/the-berkeley/events/spaces/ballroom,luxury,100-200,Central London,High,luxury-boutique +...
Luxury Hotel Tower Bridge,http://www.fourseasons.com/tentrinity/,luxury,100-200,Tower Hamlets,High,"4-5 star, group-focu"
Luxury Rooms & Suites in South Bank,https://www.seacontainerslondon.com/stay/,boutique,200+,South Bank,High,"Luxury/5-star, Group-ready"
Luxurylondon,https://luxurylondon.co.uk/travel/london/best-five-star-hotels-in-london/,boutique,50-100,Westminster,High,"5-star, 50-100 rooms..."
Mandarin Oriental Hyde Park,https://www.mandarinoriental.com/en/london/hyde-park,luxury,200+,Knightsbridge,High,"5-star luxury, 200+ rooms, Hyde Park"
Mandarin Oriental London,https://www.mandarinoriental.com/london/,luxury,200+,Knightsbridge,High,5-star Knightsbridge luxury
Mandarinoriental,https://www.mandarinoriental.com.cn/zh-cn/london/hyde-park/celebrate,luxury,50-100,Central London,High,luxury; group events
Marriott County Hall,https://marriott.com/en-gb/hotels/lonwi-the-westin-london-city/overview,luxury,200+,Central,High,Luxury 4-5 star grou
Marriott Executive Apartments London,https://www.marriott.com/en-us/hotels/loner-marriott-executive-apartments-london-canary-wharf,business,200+,Canary Wharf,High,4-5 star with meeting/ballroom facilities
Marriott Executive Apartments London West India Quay,https://www.booking.com/hotel/gb/marriott-executive-apartments-london-west-india-quay.html,luxury,200+,Tower Hamlets,High,"100+ rooms, luxury p"
Marriott Hotel Grosvenor Square,https://www.marriott.com/en-us/hotels/lonmc-london-marriott-hotel-grosvenor-square/,business,200+,Mayfair,High,"4-star, 200+ rooms, business"
May Fairhotel,https://may-fairhotel.com/,upscale,200+,Mayfair,High,"5-star, 200+ rooms, ..."
Mayfair,https://www.booking.com/fourstars/city/gb/mayfair.html,boutique,50-100,Mayfair,High,"luxury property, gro"
ME London by Melia,https://www.melia.com/en/hotels/united-kingdom/london/me-london,upscale,100-200,Covent Garden,High,Upscale Somerset House hotel
Meetings,https://meetings.preferredhotels.com/hotels/united-kingdom/londoner,boutique,200+,Mayfair,High,"200+ rooms, group-fo..."
"Meetings & Events at Pan Pacific London, London, United Kingdom",https://www.conferencehotelgroup.com/hotels/7717/Pan-Pacific-London,business,200+,City,High,"Luxury/5-star, Group-ready"
Megarolondon.Uk Hotel,https://megarolondon.uk-hotel.co.uk/fr/,chain,200+,King's Cross,High,Luxury property | 100+ rooms
Mercer Hotel,https://choosewhere.com/city-of-london-four-and-five-star-luxury-hotels,independent,50-100,City,High,Luxury/5-star
Missjonesgroup,https://missjonesgroup.com/venues/hilton-london-metropole/mezzanine-meeting-rooms/,luxury,100-200,London,High,"4-star, 100-200 room..."
Montcalmcollection,https://montcalmcollection.com/montcalm-mayfair ,boutique,50-100,Mayfair,High,"5-star, 50-100 rooms..."
Myblossomtravel Hotel,https://www.myblossomtravel.com/en/hotels/marriott-mena-house/,luxury,100-200,Westminster,High,"4-5 star, group-focu"
Myboutiquehotel,https://www.myboutiquehotel.com/en/boutique-hotels-london/,boutique,100-200,Westminster,High,"5-star, 100-200 room..."
"nhow London, your artistic hotel in Shoreditch",https://www.nh-hotels.com/en/hotel/nhow-london ,boutique,100-200,Islington,High,"Boutique, 100+ rooms, group ready"
No. 1 Hotel in the UK,https://www.sterminshotel.co.uk/ ,boutique,50-100,Westminster,High,"4-star, 50-100 rooms..."
"Nobu Hotel , London : Five Star Alliance",https://www.fivestaralliance.com/luxury-hotels/london/nobu-hotel-london-shoreditch?hdn_checkin=01_17_2026&hdn_checkout=01_19_2026,luxury,100-200,Shoreditch,High,luxury-boutique +...
Novotel Hammersmith Hotel London Rooms & Event Venue,http://novotellondonwest.co.uk/,luxury,100-200,Hammersmith & Fulham,High,"4-5 star, group-focu"
Novotel London,https://www.novotellondonwest.co.uk/meeting-rooms/overview,luxury,200+,Central,High,Luxury 4-5 star grou
Official Home Page,https://sofitelstjames.com/,luxury,100-200,Westminster,High,"4-5 star, group-focu"
Official website of Canary Riverside Plaza Hotel in London,https://canaryriversideplaza.com/,luxury,100-200,Central London,High,luxury-boutique +...
One Hundred Shoreditch,https://onehundredshoreditch.com/,luxury,200+,Islington,High,"Premium, 100+ rooms, group events"
"One Hundred Shoreditch, a Design Boutique Hotel London, United Kingdom",https://www.myboutiquehotel.com/en/boutique-hotels-london/ace-hotel-london-shoreditch.html,boutique,200+,Islington,High,"Boutique, 100+ rooms, group ready"
Overview,https://www.marriott.com/en-us/hotels/lonlc-the-park-tower-knightsbridge-a-luxury-collection-hotel-london/overview/?scid=bb1a189a-fec3-4d19-a255-54ba596febe2&y_source=1_Mjc4MjE2Ni03MTUtbG9jYXRpb24uZ29vZ2xlX3dlYnNpdGVfb3ZlcnJpZGU%3D,chain,Unknown,Paddington,High,Luxury property | group-focused
Park Hyatt London River Thames,https://www.tripadvisor.com/Hotel_Review-g186338-d28436056-Reviews-Park_Hyatt_London_River_Thames-London_England.html,luxury,200+,Victoria,High,"100+ rooms, luxury p"
PARK HYATT LONDON RIVER THAMES HOTEL • SPA SALON,https://parkhyattriverthames.londonahotel.com/en/,luxury,100-200,Central London,High,luxury-boutique +...
Park Hyatt London River Thames.En Gb,https://www.booking.com/hotel/gb/park-hyatt-london-river-thames.en-gb.html,chain,200+,Westminster,High,"100+ rooms, group-ca"
Park Hyatt London River Thames.Nl,https://www.booking.com/hotel/gb/park-hyatt-london-river-thames.nl.html,luxury,200+,Westminster,High,"100+ rooms, luxury p"
Park Lane Hotel,https://www.marriott.com/en-gb/hotels/longr-sheraton-grand-london-park-lane/events/,luxury,200+,Mayfair,High,Luxury 4-5 star grou
Park Plaza Westminster Bridge,https://www.parkplazawestminsterbridge.com,business,200+,Westminster,High,4-5 star with meeting/ballroom facilities
Park Tower Knightsbridge.Londonhotelsgb,https://park-tower-knightsbridge.londonhotelsgb.com/,chain,Unknown,Paddington,High,Luxury property | group-focused
Parkcitylondon,http://www.parkcitylondon.com/meeting-room-kensington/,boutique,50-100,Kensington,High,"4-star, 50-100 rooms..."
Parkplazacountyhall,https://www.parkplazacountyhall.com/,upscale,50-100,Westminster,High,"4-star, 50-100 rooms..."
Parktowerknightsbridgelondon.Hotelmix,https://parktowerknightsbridgelondon.hotelmix.co.uk/,business,200+,Fitzrovia,High,Luxury property | 100+ rooms
Phgmeetings,https://phgmeetings.com/hotels/united-kingdom/londoner,boutique,200+,Mayfair,High,"200+ rooms, group-fo..."
Piccadilly Hotel,https://www.themontcalmlondoncity.co.uk/meeting-and-events-408.html,business,50-100,West End,High,"Luxury/5-star, Group-ready"
Piccadilly Hotel Near Soho & Covent Garden,https://thistlehotels.com/piccadilly,independent,100-200,Westminster,High,"4-5 star, group-focu"
Premier Inn London Southwark Borough Market.Londonhotelsgb,https://premier-inn-london-southwark-borough-market.londonhotelsgb.com/,chain,50-100,Southwark,High,Luxury property | 50+ rooms
PreviousNext,http://www.timeout.com/london/hotels/ham-yard-hotel-1,boutique,200+,Soho,High,"100+ rooms, group-ca"
Prnewswire,https://www.prnewswire.com/news-releases/three-tiers-of-personality-best-western-announces-major-brand-enhancement-130338188.html,chain,100-200,London,High,"4-star, 100-200 room..."
Pullmanlondonstpancras.Hotelmix,https://pullmanlondonstpancras.hotelmix.co.uk/,chain,200+,Fitzrovia,High,4-star | 100+ rooms
"Radisson Blu Hampshire Hotel, London",https://www.hotels.uk.com/uk/greater-london/hotels-in-piccadilly-circus/radisson-blu-hampshire-hotel-london.wc2h-7lh,luxury,100-200,Westminster,High,"4-5 star, group-focu"
Radisson Blu Hotel London Leicester Square,https://www.hrs.com/en/hotel/11717,luxury,100-200,Westminster,High,"4-5 star, group-focu"
"Radisson Blu Hotel, London Leicester Square. Rates from GBP197",https://radisson-hampshire.hotel-rez.com/,luxury,100-200,Westminster,High,"4-5 star, group-focu"
Radissonedwardianmayfair.En Gb,https://www.booking.com/hotel/gb/radissonedwardianmayfair.en-gb.html,boutique,200+,Mayfair,High,"100+ rooms, luxury p"
Raffles London,https://raffles.com/london/wellness/,luxury,200+,Central,High,Luxury 4-5 star grou
Raffles London at The OWO,https://www.raffles.com/london,luxury,100-200,Westminster,High,Historic Old War Office luxury
Regent Palace Hotel,https://regentpalacehotel.co.uk/,luxury,100-200,Westminster,High,"4-5 star, luxury-bra"
Rosewood London,https://www.rosewoodhotels.com/en/london,luxury,100-200,Holborn,High,4-5 star with meeting/ballroom facilities
Rosewood London Weddings,https://rosewood-london-weddings.venuecrew.com/,independent,100-200,Central London,High,50+ rooms + group...
Rosewoodhotels,https://www.rosewoodhotels.com/en/london/meetings-and-events/group-offer,luxury,50-100,West End,High,"Luxury/5-star, Group-ready"
Royal Horseguards Hotel,https://www.royalhorseguardshotel.com,luxury,200+,Whitehall,High,4-5 star with meeting/ballroom facilities
Sanderson,https://www.booking.com/hotel/gb/sanderson.html?label=gen173nr-1BCAsoUEIJc2FuZGVyc29uSAlYBGiwAogBAZgBMbgBB8gBDNgBAegBAYgCAagCA7gC2rC4wAbAAgHSAiRhZTY1NjRkOS1mNmRjLTRhMGUtYWFjZS1iNTRmNTM0Y2ExYzHYAgXgAgE&dist=0&keep_landing=1&sb_price_type=total&type=total,boutique,200+,Covent Garden,High,"100+ rooms, luxury p"
Shangri La At The Shard London,https://www.booking.com/hotel/gb/shangri-la-at-the-shard-london.html?label=gen173nr-1BCAsoUEIec2hhbmdyaS1sYS1hdC10aGUtc2hhcmQtbG9uZG9uSAdYBGiJAogBAZgBMbgBB8gBD9gBAegBAYgCAagCA7gCv6THwAbAAgHSAiRmOGMzYjgwYy1lNGMwLTQ2MTUtYThiMy02ZWQ2MzRiZWI4Y2XYAgXgAgE&dist=0&keep_landing=1&sb_price_type=total&type=total,luxury,200+,Westminster,High,"100+ rooms, luxury p"
Sheraton Grand London Park Lane,https://www.marriott.com/en-us/hotels/longr-sheraton-grand-london-park-lane/,business,200+,Mayfair,High,"4-star, 200+ rooms, business events"
Sherlockholmeshotel.En Gb,https://www.booking.com/hotel/gb/sherlockholmeshotel.en-gb.html,boutique,200+,Mayfair,High,"100+ rooms, group-ca"
Sofitel London St James,https://all.accor.com/hotel/3144/index.en.shtml,luxury,100-200,Westminster,High,"4-5 star, group-focu"
St James's Hotel and Club,https://www.stjameshotelandclub.com/,luxury,50-100,St James's,High,"5-star boutique, Small Luxury Hotels member"
St Pancras London,https://www.kingscross.co.uk/st-pancras-london,chain,Unknown,King's Cross,High,Luxury property | group-focused
St Pancras Renaissance Hotel London,https://www.tripadvisor.com/Hotel_Review-g186338-d1866705-Reviews-St_Pancras_Renaissance_Hotel_London-London_England.html,luxury,200+,Soho,High,"100+ rooms, luxury p"
St Pancras Renaissance Hotel.Londonhotelsgb,https://st-pancras-renaissance-hotel.londonhotelsgb.com/,chain,Unknown,King's Cross,High,Luxury property | group-focused
"St. James Court, London",https://www.tajhotels.com/en-in/taj/st-james-court-a-taj-hotel-london/,luxury,200+,Westminster,High,"4-5 star, group-focu"
"St. James' Court, A Taj Hotel, London",https://st-james-court-a-taj-hotel.londonhotelsgb.com/,luxury,200+,Westminster,High,"4-5 star, group-focu"
Star Hotel,https://www.dorchestercollection.com/london/the-dorchester/occasions,luxury,50-100,London,High,"Luxury/5-star, Group-ready"
Sterminshotel,https://www.sterminshotel.co.uk/weddings,luxury,50-100,Central London,High,luxury; group events
Stjameshotelandclub,https://www.stjameshotelandclub.com/en/the-hotel,boutique,50-100,Mayfair,High,"5-star, 50-100 rooms..."
Suites,https://www.thistle.com/the-tower/rooms/suites,luxury,100-200,Tower Hamlets,High,"4-5 star, group-focu"
Sunstreethotel,https://sunstreethotel.com/stay ,boutique,100-200,Shoreditch,High,luxury-boutique +...
Templarlondon,https://templarlondon.com/groups ,independent,100-200,Central London,High,50+ rooms + group...
Temple station hotels,https://www.milesfaster.co.uk/station/temple-station-hotels.htm,luxury,100-200,Westminster,High,"4-5 star, group-focu"
The Academy.En Gb,https://www.booking.com/hotel/gb/the-academy.en-gb.html,luxury,200+,Soho,High,"100+ rooms, luxury p"
The Ampersand,https://www.booking.com/hotel/gb/the-ampersand.html?label=gen173nr-1BCAsoUEINdGhlLWFtcGVyc2FuZEglWARolQKIAQGYATG4ARjIAQzYAQHoAQGIAgGoAgS4AoCNu8IGwAIB0gIkZDU0MTdlMGQtNmJiNy00YzQ0LWJlOTctNDc5MTA0MWUzMTA32AIF4AIB&dist=0&keep_landing=1&sb_price_type=total&type=total,boutique,200+,Kensington,High,"100+ rooms, luxury p"
The Ampersand.Da,https://www.booking.com/hotel/gb/the-ampersand.da.html,luxury,200+,Kensington,High,"100+ rooms, luxury p"
The Ampersand.Tl,https://www.booking.com/hotel/gb/the-ampersand.tl.html,luxury,200+,Kensington,High,"100+ rooms, luxury p"
The Athenaeum,https://www.athenaeumhotel.com/,luxury,50-100,Mayfair,High,"5-star boutique, Mayfair, conference rooms"
The Athens Gate Hotel,https://www.myblossomtravel.com/en/hotels/the-athens-gate-hotel/,luxury,100-200,Westminster,High,"4-5 star, group-focu"
The Beaumont London,https://www.booking.com/hotel/gb/the-beaumont-london.html?label=gen173nr-1BCAsoUEITdGhlLWJlYXVtb250LWxvbmRvbkgJWARolQKIAQGYATG4ARfIAQzYAQHoAQGIAgGoAgO4AoGjuMAGwAIB0gIkMGVlMWFlODUtMDAzYy00ZDE5LTlkZWItZTBhYjFhYzFlY2Rm2AIF4AIB&dist=0&keep_landing=1&sb_price_type=total&type=total,luxury,200+,Soho,High,"100+ rooms, luxury p"
The Berkeley,https://www.the-berkeley.co.uk/meetings-events/event-spaces/ballroom/,luxury,200+,Central,High,Luxury 4-5 star grou
"The Berkeley Hotel, London: 5",https://inte.the-berkeley.co.uk/,boutique,100-200,Knightsbridge,High,luxury-boutique +...
The Best Knightsbridge London Hotels,https://www.fivestaralliance.com/best/hotels/900/the-best-knightsbridge-london-hotels,luxury,100-200,Knightsbridge,High,luxury-boutique +...
The Biltmore Mayfair,https://thebiltmorehotels.com/biltmore-mayfair,luxury,50-100,Mayfair,High,luxury; group events
The Cavendish hotel Location in st james london,https://www.thecavendish-london.co.uk/location,luxury,100-200,Westminster,High,"4-5 star, luxury-bra"
The Cavendish London,https://www.discoverasr.com/en/others/united-kingdom/the-cavendish-london,luxury,100-200,Westminster,High,"4-5 star, group-focu"
The Chesterfield Mayfair Hotel,https://www.conferencehotelgroup.com/hotels/1651/The-Chesterfield-Mayfair-Hotel,boutique,100-200,Mayfair,High,"5-star, 100-200 room..."
The Cumberland Hotel,https://www.conferencehotelgroup.com/hotels/5940/The-Cumberland-Hotel,luxury,200+,London,High,"5-star, 200+ rooms, ..."
The Dorchester,https://www.dorchestercollection.com/en/london/the-dorchester/,luxury,200+,Mayfair,High,"5-star luxury, 200+ rooms"
The Exhibitionist,https://www.booking.com/hotel/gb/the-exhibitionist.html,boutique,200+,Kensington,High,"100+ rooms, luxury p"
The Grove,https://www.thegrove.com/,business,200+,Hertfordshire,High,"4-star resort, corporate events, large meeting spaces"
"The Hoxton, Shoreditch Hotel",https://www.hotellondon.info/the-hoxton-shoreditch.it.html,luxury,200+,Islington,High,"Premium, 100+ rooms, group events"
"THE HOXTON, SHOREDITCH LONDON HOTEL",https://thehoxtonshoreditch.londonahotel.com/en/,boutique,100-200,Islington,High,"Boutique, 100+ rooms, group ready"
"The Hoxton, Shoreditch, a Design Boutique Hotel London, United Kingdom",https://www.myboutiquehotel.com/en/boutique-hotels-london/hoxton-hotel.html,boutique,200+,Islington,High,"Boutique, 100+ rooms, group ready"
The Landmark Hotel London Venue Hire,https://www.venuecrew.com/uk/venues/the-landmark-hotel-london/,luxury,100-200,Central London,High,luxury-boutique +...
The Landmark Hotel Weddings,https://the-landmark-hotel-weddings.venuecrew.com/ ,independent,100-200,Central London,High,50+ rooms + group...
The Landmark London,https://www.landmarklondon.co.uk/en/weddings,luxury,50-100,Central London,High,luxury; group events
"The Landon, Ascend Hotel Collection",https://www.myblossomtravel.com/en/hotels/the-landon-ascend-hotel-collection/,luxury,100-200,Westminster,High,"4-5 star, group-focu"
The Langham Hotel,https://www.findaweddingvenue.co.uk/the-langham-hotel/view-details.html,independent,100-200,Central London,High,50+ rooms + group...
The Langham Hotel Weddings London,https://the-langham-hotel-weddings-london.venuecrew.com/,luxury,100-200,Central London,High,luxury-boutique +...
The Langham London,http://london.langhamhotels.com/en/the-langham/london/wellness/,luxury,200+,Central,High,Luxury 4-5 star grou
"The Langham, London",https://www.langhamhotels.com/en/the-langham/london/,luxury,50-100,West End,High,"Luxury/5-star, Group-ready"
The Laslett,https://www.booking.com/hotel/gb/the-laslett.html,business,200+,Kensington,High,"100+ rooms, group-ca"
The Mandrake,https://www.booking.com/hotel/gb/the-mandrake.html?label=gen173nr-1BCAsoUEIMdGhlLW1hbmRyYWtlSAlYBGixAogBAZgBMbgBF8gBDNgBAegBAYgCAagCA7gCptmMwQbAAgHSAiQyMzljMGE5Yi1hNGYzLTRmZDctOGMxZC0zMDVjOGE0ODEwNTLYAgXgAgE&dist=0&keep_landing=1&sb_price_type=total&type=total,luxury,200+,Soho,High,"100+ rooms, luxury p"
The May Fair Hotel,https://checkout.timeout.com/london/may-fair-hotel-58022/,luxury,200+,Mayfair,High,"100+ rooms, luxury p"
The Mayfair Townhouse By Iconic Luxury Hotels,https://www.booking.com/hotel/gb/the-mayfair-townhouse-by-iconic-luxury-hotels.html,luxury,200+,Mayfair,High,"100+ rooms, luxury p"
The Mayfair Townhouse By Iconic Luxury Hotels.En Gb,https://www.booking.com/hotel/gb/the-mayfair-townhouse-by-iconic-luxury-hotels.en-gb.html,luxury,200+,Mayfair,High,"100+ rooms, luxury p"
The Ned,https://www.thened.com/,luxury,100-200,City,High,1924 Bank building luxury hotel
The Newman Hotel Fitzrovia And A Different Way To Open In London,https://www.thetravelprojectstudios.com/articles/the-newman-hotel-fitzrovia-and-a-different-way-to-open-in-london-,boutique,50-100,Fitzrovia,High,Luxury property | 50+ rooms
The Park Tower Knightsbridge A Luxury Collection Hotel London,https://www.hectindia.com/hotel/the-park-tower-knightsbridge-a-luxury-collection-hotel-london?adults=2,chain,Unknown,Paddington,High,Luxury property | group-focused
"The Park Tower Knightsbridge, A Luxury Collection Hotel, London",https://park-tower-knightsbridge.londonhotelsgb.com/,luxury,100-200,Knightsbridge,High,luxury-boutique +...
"The Park Tower Knightsbridge, a Luxury Collection Hotel, London. Rates from GBP210",https://the-park-tower-knightsbridge.h-rez.com/,luxury,50-100,Knightsbridge,High,luxury-boutique +...
The Peninsula London,https://www.peninsula.com/en/london/wellness/spa,luxury,200+,Central,High,Luxury 4-5 star grou
The Ritz London,https://www.theritzlondon.com,luxury,100-200,Piccadilly,High,4-5 star with meeting/ballroom facilities
The Rockwell Hotel 4,https://therockwell.londonahotel.com/en/,boutique,50-100,Westminster,High,"4-star, 50-100 rooms..."
The Savoy,https://thesavoylondon.com/,luxury,200+,Covent Garden,High,"5-star iconic, 200+ rooms"
The Savoy London,https://www.thesavoylondon.com,luxury,100-200,Strand,High,4-5 star with meeting/ballroom facilities
The Savoy.Pl,https://www.booking.com/hotel/gb/the-savoy.pl.html,luxury,200+,Covent Garden,High,"100+ rooms, luxury p"
"The St. Regis Almasa Hotel, New Administrative Capital",https://www.myblossomtravel.com/en/hotels/the-st-regis-almasa-hotel-new-administrative-capital/,luxury,100-200,Westminster,High,"4-5 star, group-focu"
The Tower Hotel by Thistle: Hotel Near Tower Bridge,https://www.towerhotellondon.com/,luxury,100-200,Tower Hamlets,High,"4-5 star, group-focu"
The Trafalgar St. James,https://www.trafalgarstjames.com/,luxury,100-200,Westminster,High,"4-5 star, group-focu"
The Waldorf Hilton Hotel 4,https://thewaldorfhilton.londonahotel.com/en/,luxury,200+,Westminster,High,"4-star, 200+ rooms, ..."
The Waldorf Hilton.En Gb,https://www.booking.com/hotel/gb/the-waldorf-hilton.en-gb.html,luxury,200+,Covent Garden,High,"100+ rooms, luxury p"
THE WARRINGTON HOTEL LONDON,https://thewarrington.hotelinlondon.net/en/,luxury,100-200,Clerkenwell,High,"Premium, 100+ rooms, group events"
The Welbeck Hotel By Ihg 4,https://thewelbeckbyihg.londonahotel.com/en/,chain,100-200,Westminster,High,"4-star, 100-200 room..."
The Wellesley,https://www.booking.com/hotel/gb/the-wellesley.html,boutique,200+,Westminster,High,"100+ rooms, luxury p"
The Wellesley.En Gb,https://www.booking.com/hotel/gb/the-wellesley.en-gb.html,boutique,200+,Westminster,High,"100+ rooms, luxury p"
The Westbourne Hyde Park Hotel 4,https://thewestbournepark.londonahotel.com/,boutique,50-100,Soho,High,"4-star, 50-100 rooms..."
Thebeaufort,https://www.booking.com/hotel/gb/thebeaufort.html,boutique,200+,Kensington,High,"100+ rooms, luxury p"
Thebeaumont,https://www.thebeaumont.com/rooms-and-suites,boutique,50-100,Mayfair,High,"5-star, 50-100 rooms..."
Thebotree,http://thebotree.com/,luxury,Unknown,Fitzrovia,High,Luxury property | group-focused
Thecountrycastlecompany,https://www.thecountrycastlecompany.co.uk/venue/highcroft-retreat/,luxury,50-100,Central London,High,luxury
Thedixoncollectionlondon.uk Hotel,https://thedixoncollectionlondon.uk-hotel.co.uk/en/,luxury,200+,Tower Hamlets,High,"4-5 star, group-focu"
Thegoring,https://www.thegoring.com/weddings/,luxury,50-100,Central London,High,luxury; group events
Thehoteljournal,https://thehoteljournal.com/best-boutique-hotels-in-london/,boutique,50-100,West End,High,"Luxury/5-star, Group-ready, Large venue"
Themayfairhotel,https://www.themayfairhotel.co.uk/plan-an-event/meetings-conferences,upscale,200+,Mayfair,High,"200+ rooms, group-fo..."
Theparkhotel.Londonahotel,https://theparkhotel.londonahotel.com/en/,business,200+,Fitzrovia,High,Luxury property | 100+ rooms
Theparkhotellondon.Uk Hotel,https://theparkhotellondon.uk-hotel.co.uk/en/,chain,200+,Southwark,High,Luxury property | 100+ rooms
Theroyalparkhotel,https://www.booking.com/hotel/gb/theroyalparkhotel.html,boutique,200+,Kensington,High,"100+ rooms, luxury p"
Theroyalparkhotel.En Gb,https://www.booking.com/hotel/gb/theroyalparkhotel.en-gb.html,boutique,200+,Kensington,High,"100+ rooms, luxury p"
Thesavoylondon,https://thesavoylondon.com/events-and-celebrations,independent,100-200,Central London,High,50+ rooms + group...
Thewellesleyknightsbridge.Londonahotel,https://thewellesleyknightsbridge.londonahotel.com/en/,boutique,Unknown,Fitzrovia,High,Luxury property | group-focused
Titania Hotel Athens,https://www.myblossomtravel.com/en/hotels/titania-hotel-athens/,luxury,100-200,Westminster,High,"4-5 star, group-focu"
"Top 10 Hotels in Hammersmith and Fulham, London",https://www.hotels.com/nh1808498/hotels-in-hammersmith-and-fulham-london-united-kingdom/,luxury,100-200,Hammersmith & Fulham,High,"4-5 star, group-focu"
Top Hotels London,https://www.top-hotels-london.com/en/property/hammersmith-riverside-cosy-4-bedroom-home-near.html,luxury,100-200,Hammersmith & Fulham,High,"4-5 star, group-focu"
Tower Bridge Hotel Offers,https://www.fourseasons.com/towerbridge/offers/experience-east-london-15-off/,luxury,100-200,Tower Hamlets,High,"4-5 star, luxury-bra"
travel42 Hotel Review: Hotel Cafe Royal,https://www.travelweekly-asia.com/Hotels/London/Hotel-Cafe-Royal/Review-p56601287,independent,100-200,Westminster,High,"group-focused, luxur"
Tripmakery,https://tripmakery.com/en/bl/106-1314/group-travel-60-persons-london/,luxury,200+,St Pancras,High,"200+ rooms, group-fo..."
Unique Luxury Hotel in Shoreditch,https://artotel.com/hotels/london/hoxton/,luxury,100-200,Shoreditch,High,luxury-boutique +...
Victoria,https://www.thezhotels.com/hotels/victoria/,boutique,Unknown,Knightsbridge,High,Luxury property | group-focused
Vintry & Mercer,https://www.vintryandmercer.com/,luxury,100-200,Tower Hamlets,High,"4-5 star, group-focu"
Vintry Amp Mercer,https://www.booking.com/hotel/gb/vintry-amp-mercer.html,boutique,200+,Borough,High,"100+ rooms, luxury p"
VIRGIN HOTELS LONDON,https://virginhotelsshoreditch.hotelinlondon.net/en/,boutique,100-200,Islington,High,"Boutique, 100+ rooms, group ready"
Virgin Hotels London Shoreditch,https://www.americanexpress.com/en-gb/travel/the-hotel-collection/property/United-Kingdom/London/Virgin-Hotels-London-Shoreditch,luxury,100-200,Shoreditch,High,luxury-boutique +...
Waldorf Hilton London,https://waldorf-hilton-london.bookstaygo.com/group-events?locale=en,chain,100-200,Central London,High,50+ rooms + group...
Where To Stay In Temple With Fitness Center London: Top Hotels,https://exercisepick.com/where-to-stay-in-temple-with-fitness-center-london/,luxury,100-200,Westminster,High,"4-5 star, group-focu"
With some of the most expansive outdoor space of any London,https://www.the-berkeley.co.uk/en/hotels/the-berkeley,independent,50-100,City,High,"Luxury/5-star, Group-ready"
Www Eur.cvent Hotel,https://www-eur.cvent.com/venues/sv-SE/london/hotel/strand-palace-hotel/venue-1cac4871-bffd-436d-a2b8-e4e9bb450c11,luxury,100-200,Westminster,High,"4-5 star, group-focu"
,,,,,,
Xenia,https://www.booking.com/hotel/gb/xenia.html,boutique,200+,Kensington,High,"100+ rooms, group-ca"
Zedwell Hotel,https://develop.zedwellhotels.com/offers/group-bookings/,chain,50-100,West End,High,"Luxury/5-star, Group-ready"
Zedwellhotels,https://www.zedwellhotels.com/group-bookings,chain,50-100,West End,High,"Luxury/5-star, Group-ready"
°THISTLE TRAFALGAR,https://the-royal-trafalgar-by-thistle-hotel-london.hotelmix.co.uk/,luxury,100-200,Westminster,High,"4-5 star, group-focu"
• CITIZENM LONDON SHOREDITCH HOTEL,https://citizenmshoreditch.londonahotel.com/en/,chain,200+,Islington,High,"Premium, 100+ rooms, group events"
"***** FOUR SEASONS HOTEL LONDON AT TOWER BRIDGE, LONDON *****",https://fourseasonsbridge.londonahotel.com/no/ ,independent,100-200,Tower Hamlets,Medium,luxury-brand
100 Queen's Gate Hotel London Curio,https://www.curiohotels.com/,luxury,100-200,Kensington,Medium,"4-star luxury, Kensington"
"15 Best Hotels in North Maida Vale, London, England for 2026",https://travel.usnews.com/hotels/london_england/n-north-maida-vale/,luxury,50-100,Maida Vale,Medium,"luxury, 50-100 rooms"
150Atthemayfair,https://150atthemayfair.co.uk/, ,100-200,Mayfair,Medium,group events
"4* star Hotels near Holland Park, Accommodation close to Holland Park UK",https://www.letsbookhotel.com/en/uk/landmark-hotels-near/holland-park/hotels-accommodation/4-star-hotels.aspx,luxury,50-100,Notting Hill,Medium,"luxury, 50-100 rooms"
5 Star Hotel In Central London,https://thecourthouse-hotel.com/,luxury,50-100,Soho,Medium,"luxury, 50-100 rooms"
60 Hyde Park Gate Hotel,https://meetings.accor.com/hotel/C3W6/index.en.shtml,luxury,50-100,Kensington,Medium,"50-100 rooms, group-..."
7 BEST HOTELS near LEICESTER SQUARE,https://santorinidave.com/leicester-square-hotels,luxury,100-200,Westminster,Medium,4-5 star
[Hotel Overview](https://londonmetpresents.com/hotel-overview),https://londonmetpresents.com/hotel-overview,luxury,100-200,Kensington,Medium,"100-200 rooms, group..."
[Hotels & Homes](https://www.trip.com/hotels/),https://www.trip.com/hot/top-10-blue-orchid-hotels/,luxury,50-100,London,Medium,"50-100 rooms, group-..."
[IFA Hotels & Resorts](https://www.prnewswire.com/news/ifa-hotels-&-resorts/),https://www.prnewswire.com/news-releases/a-consortium-led-by-ifa-hotels--resorts-and-kuwait-real-estate-co-closes-us315-million-deal-for-largest-hotel-to-open-in-nyc-this-year-123217228.html,luxury,50-100,London,Medium,"50-100 rooms, group-..."
About Astor Court Hotel,http://www.astorcourthotel.co.uk/,upscale,50-100,Victoria,Medium,"50-100 rooms, group-..."
About the Hotel,https://www.onehundredshoreditch.com/hotel-info/ ,independent,100-200,Shoreditch,Medium,50+ rooms
